name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type
service_point1747655,1120,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841964,1046,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point609009,1185,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point581037,275,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point623283,1187,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841177,229,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2451147,1127,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748090,752,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point601278,1075,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842232,357,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point596379,1036,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747525,985,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point595680,1206,0.001,0.0003,0.0,0.0,,1.0,True,wye
