loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,vm_pu,name_x,vn_kv_x,type_x,zone_x,in_service_x,name_y,vn_kv_y,type_y,zone_y,in_service_y,x,y,coords,geometry
0.0,busbar254542,,420,297,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9993467152731162,node84142412,11.0,b,,True,node84142412,11.0,b,,True,152.89365,-31.4661027,,POINT (152.89365 -31.4661027)
5.24498538243952e-07,busbar87085,,759,754,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9993467023543511,node24056448,11.0,b,,True,node24056448,11.0,b,,True,152.896034,-31.4675056,,POINT (152.896034 -31.4675056)
0.0,busbar87095,,759,833,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9993467023543511,node24056448,11.0,b,,True,node24056448,11.0,b,,True,152.896034,-31.4675056,,POINT (152.896034 -31.4675056)
5.580619633482241e-05,cable3338341,,596,108,0.0379318498,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819235227817382,node22932783,11.0,b,,True,node22932783,11.0,b,,True,152.922332,-31.4686224,,POINT (152.922332 -31.4686224)
5.580618521792186e-06,cable3256247,,596,157,0.0151211754,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819235227817382,node22932783,11.0,b,,True,node22932783,11.0,b,,True,152.922332,-31.4686224,,POINT (152.922332 -31.4686224)
5.5806324197432345e-06,cable1184547,,596,568,0.0240833279,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819235227817382,node22932783,11.0,b,,True,node22932783,11.0,b,,True,152.922332,-31.4686224,,POINT (152.922332 -31.4686224)
5.580623927142637e-06,cable3256246,,596,813,0.0126310128,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819235227817382,node22932783,11.0,b,,True,node22932783,11.0,b,,True,152.922332,-31.4686224,,POINT (152.922332 -31.4686224)
7.463419274628838e-05,cable1115922,,900,49,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772248727622,node69936009,11.0,b,,True,node69936009,11.0,b,,True,152.922073,-31.4700642,,POINT (152.922073 -31.4700642)
3.455509840246072e-05,cable1169351,,919,254,0.0254146243,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777958723645,node71578742,11.0,b,,True,node71578742,11.0,b,,True,152.914502,-31.4672867,,POINT (152.914502 -31.4672867)
5.662619978770921e-06,cable3338219,,648,891,0.0133173783,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.967703824894041,cubicle40584,11.0,b,,True,cubicle40584,11.0,b,,True,152.911387,-31.4673594,,POINT (152.911387 -31.4673594)
