loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type
5.665248683365866e-06,cable3338645,,108,723,0.0113555329,0.001,0.001,0.001,0.0,1000.0,1.0,
1.13304977740699e-05,cable1141577,,229,250,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
3.397570021809855e-05,cable1220681,,910,239,0.028491518,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,cable2085247,,220,790,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.493245057364608e-06,cable1159589,,905,1096,0.0332694051,0.001,0.001,0.001,0.0,1000.0,1.0,
1.6629469088782188e-05,cable1179463,,17,162,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518384576049124e-05,cable1122816,,425,705,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0003230708013466153,simulated23121435_58681,,883,1087,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518365566794733e-05,cable1215377,,349,704,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741102782666531e-06,cable3336710,,707,861,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
4.5322014943023006e-05,cable2781259,,1075,400,0.0156168695,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1325254775736555e-05,cable1177520,,375,374,0.0180251478,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759185951606101e-06,cable3338959,,622,1168,0.012019954000000001,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00014397970743574394,geo_schematic_cable1854,,241,360,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.7591930969628836e-06,cable3338878,,748,850,0.010550363,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759189524277302e-06,cable3338910,,358,1082,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
2.2650487521465053e-05,cable2125738,,514,21,0.0424966009,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759185951606101e-06,cable3338924,,923,3,0.011447161400000001,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1330502999105526e-05,cable1150448,,400,267,0.0182594552,0.001,0.001,0.001,0.0,1000.0,1.0,
5.665249720757766e-06,cable2769360,,55,664,0.0241486505,0.001,0.001,0.001,0.0,1000.0,1.0,
,cable1508051,,426,817,0.06741384480000001,0.001,0.001,0.001,0.0,1000.0,1.0,
5.66261601694788e-06,cable3339125,,749,1252,0.0115899146,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741094181377371e-06,cable3336741,,822,1235,0.0127913309,0.001,0.001,0.001,0.0,1000.0,1.0,
5.7591870470029265e-06,cable3338913,,285,116,0.0447647518,0.001,0.001,0.001,0.0,1000.0,1.0,
5.662619344234469e-06,cable3338250,,407,480,0.0114274232,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741093663438368e-06,cable2727645,,57,1258,0.0111768003,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,cable1198540,,438,932,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,geo_schematic_cable119592,,623,982,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
2.3036719269663846e-05,cable1209832,,1062,626,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759185462897782e-06,cable3255759,,719,750,0.017833324600000002,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00012056289110456515,cable3768149,,532,124,0.11787181,0.001,0.001,0.001,0.0,1000.0,1.0,
,cable1508054,,858,753,0.033084394,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,cable1210321,,237,1002,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759188631108153e-06,cable1156065,,454,188,0.0203248027,0.001,0.001,0.001,0.0,1000.0,1.0,
5.6626170460536545e-06,cable3338859,,256,90,0.015446101799999999,0.001,0.001,0.001,0.0,1000.0,1.0,
3.3975709805398166e-05,cable2788552,,716,910,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.580620252548298e-05,cable3338341,,757,133,0.0379318498,0.001,0.001,0.001,0.0,1000.0,1.0,
5.74108381822616e-06,cable3336357,,437,754,0.012622715599999999,0.001,0.001,0.001,0.0,1000.0,1.0,
