loading_percent,name_LINE,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type,vm_pu_NODE1,name_NODE1,vn_kv_NODE1,x_NODE1,y_NODE1,vm_pu_NODE2,name,vn_kv_NODE2,x_NODE2,y_NODE2
0.00010197448508323502,geo_schematic_cable260721,,217,736,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672544084775597,node59740028,11.0,152.906016,-31.4653159,0.9672544064782075,node101117485,11.0,152.906107,-31.4652595
0.00012457764408663424,cable1204786,,72,594,0.0182011218,0.001,0.001,0.001,0.0,1000.0,1.0,,0.967703866664975,node74598367,11.0,152.912475,-31.4679288,0.9677038622193158,node65782916,11.0,152.912664,-31.4676786
1.1518375475879803e-05,cable2798315,,154,595,0.0119209139,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777681113,node71578957,11.0,152.915193,-31.4656321,0.9514777678420854,cubicle41292,11.0,152.915092,-31.4655769
1.1518355657721881e-05,cable1134054,,154,667,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777681113,node71578957,11.0,152.915193,-31.4656321,0.9514777678854666,cubicle36743,11.0,152.915207,-31.4656251
5.244862828837548e-07,simulated151101321_24056503,,802,1134,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9993467023591691,node151101321,11.0,152.895966,-31.4663949,0.9993467023488133,node24056503,11.0,152.896034,-31.4675065
3.348372271055003e-05,cable2187592,,281,394,0.017754592200000002,0.001,0.001,0.001,0.0,1000.0,1.0,,0.981923497593033,node36726535,11.0,152.921435,-31.4683603,0.981923496427452,node36726527,11.0,152.921246,-31.4683259
5.580611567422174e-06,cable2187598,,281,1032,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.981923497593033,node36726535,11.0,152.921435,-31.4683603,0.9819234974836172,cubicle77075,11.0,152.921434,-31.4683438
5.75919862444435e-06,cable3338205,,333,1072,0.0118249263,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777883953716,cubicle49329,11.0,152.914398,-31.4683934,0.9514777882618479,cn-cable3338205-t2,11.0,152.914291,-31.4684476
5.759187569509303e-06,cable2767002,,333,242,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777883953716,cubicle49329,11.0,152.914398,-31.4683934,0.9514777882824543,node67193147,11.0,152.91442,-31.4683888
5.759192288024562e-06,cable3338203,,333,726,0.010942447899999999,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777883953716,cubicle49329,11.0,152.914398,-31.4683934,0.9514777882718125,cn-cable3338203-t2,11.0,152.91439,-31.4682953
1.698786619631898e-05,cable1245791,,282,395,0.0168118718,0.001,0.001,0.001,0.0,1000.0,1.0,,0.967703855599016,node65782890,11.0,152.913166,-31.4677965,0.9677038550390614,cubicle39443,11.0,152.913241,-31.4676597
1.1325232033895764e-05,cable1173102,,282,348,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.967703855599016,node65782890,11.0,152.913166,-31.4677965,0.9677038553769689,cubicle40579,11.0,152.913162,-31.4678096
1.5457769164566238e-11,geo_schematic_cable25610,,484,835,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9995039643016537,node59607026,11.0,152.895606,-31.4649428,0.9995039643016539,cn-geo_schematic_cable25610-t2,11.0,152.895616,-31.4649294
1.3825849052988093e-11,geo_schematic_cable380325,,484,978,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9995039643016537,node59607026,11.0,152.895606,-31.4649428,0.9995039643016538,node173091624,11.0,152.895599,-31.4649235
2.7903121195545895e-05,cable2554553,,557,520,0.0165117964,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819234948959309,node36726519,11.0,152.921004,-31.4682923,0.9819234939926035,node52761082,11.0,152.920833,-31.4682695
5.580614654645639e-06,cable2187596,,557,741,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819234948959309,node36726519,11.0,152.921004,-31.4682923,0.9819234947865151,cubicle77076,11.0,152.921003,-31.4682849
5.662616411523204e-06,cable3338217,,1047,894,0.0128492126,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038448567105,cubicle42854,11.0,152.911817,-31.4674506,0.9677038447140539,cn-cable3338217-t2,11.0,152.911723,-31.4673679
3.4446576461838295e-05,cable1165194,,994,109,0.0555028221,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772370555521,node69935305,11.0,152.920713,-31.4721921,0.9544772333070368,node69935372,11.0,152.921568,-31.4722963
2.296435560969369e-05,cable1121279,,994,1023,0.0393975605,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772370555521,node69935305,11.0,152.920713,-31.4721921,0.954477235281684,node69935273,11.0,152.921634,-31.4729098
0.0,busbar355173,,770,132,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9984841314950184,node161553383,11.0,152.909655,-31.4664569,0.9984841314950184,node161553390,11.0,152.909655,-31.4664391
0.00032920458301604943,busbar355174,,770,457,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9984841314950184,node161553383,11.0,152.909655,-31.4664569,0.9984841248504387,cn-busbar355174-t2,11.0,152.909613,-31.466457
1.1482167636452321e-05,cable1115472,,539,230,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772111932059,node69936226,11.0,152.922146,-31.4694156,0.9544772109680818,cubicle40276,11.0,152.92214,-31.4694281
0.0,cable1225063,,539,43,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772111932059,node69936226,11.0,152.922146,-31.4694156,0.9544772111932059,node69936246,11.0,152.922184,-31.4694254
1.1482162195904691e-05,cable1155085,,539,173,0.0192030131,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772111932059,node69936226,11.0,152.922146,-31.4694156,0.9544772107609003,cubicle41419,11.0,152.922104,-31.4692467
0.0015894181617527017,cable1200733,,883,649,0.20497616400000002,0.1443,0.3363,0.001,0.0,1000.0,1.0,,0.9983410260444221,node23121435,11.0,152.911791,-31.4670592,0.9982101099756946,node23378216,11.0,152.914462,-31.4674619
0.0003230708013466153,simulated23121435_58681,,883,1087,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9983410260444221,node23121435,11.0,152.911791,-31.4670592,0.9983410195304343,cn-simulated23121435_58681-t2,11.0,152.912351,-31.4671489
