,name,vn_kv,type,x,y,coords
417,node84142353,11.0,b,152.893653,-31.4661043,
418,node59312972,11.0,b,152.922392,-31.46844,
419,cn-cable3338470-t2,11.0,b,152.905554,-31.4659744,
420,cubicle97111,11.0,b,152.920737,-31.4682467,
421,node67193435,11.0,b,152.916622,-31.4686107,
422,node24069238,11.0,b,152.912278,-31.4676597,
423,cn-cable3339031-t2,11.0,b,152.917642,-31.4680351,
424,cn-busbar251728-t1,11.0,b,152.896034,-31.4675007,
425,node71579002,11.0,b,152.9158,-31.4660416,
426,node29539449,11.0,b,152.896333,-31.4612763,
427,node57578118,11.0,b,152.914653,-31.4667406,
428,cn-cable3336362-t2,11.0,b,152.921621,-31.4690899,
429,cubicle43670,11.0,b,152.916645,-31.4684628,
430,cn-cable3397178-t1,11.0,b,152.919832,-31.4682633,
431,cubicle39191,11.0,b,152.921459,-31.4727988,
432,node84145216,11.0,b,152.919022,-31.4706163,
433,cn-cable3806606-t2,11.0,b,152.922873,-31.468798,
434,cn-cable3338742-t2,11.0,b,152.907275,-31.4652871,
435,cn-cable3338744-t2,11.0,b,152.90713,-31.4651596,
436,cn-cable3338178-t2,11.0,b,152.915526,-31.4688834,
437,cubicle38012,11.0,b,152.92129,-31.4694277,
438,node69936185,11.0,b,152.921743,-31.4692912,
439,node59312978,11.0,b,152.922368,-31.4684424,
440,cn-cable3339099-t2,11.0,b,152.911065,-31.4679634,
441,cubicle50571,11.0,b,152.920804,-31.4715438,
442,node60264186,11.0,b,152.893774,-31.4624144,
443,cn-cable3336402-t2,11.0,b,152.921953,-31.4714111,
444,node237087015,11.0,b,152.915574,-31.4655334,
445,cn-geo_schematic_cable69622-t1,11.0,b,152.914663,-31.4667523,
446,cn-cable3338489-t2,11.0,b,152.904861,-31.4642541,
447,cn-cable3338477-t2,11.0,b,152.905527,-31.4653943,
448,cn-cable3341611-t2,11.0,b,152.894294,-31.4624288,
449,cubicle38030,11.0,b,152.922284,-31.4711959,
450,node23226227,11.0,b,152.920073,-31.4682914,
451,cn-simulated23232416_101377-t2,11.0,b,152.895961,-31.4663873,
452,node23107372,11.0,b,152.911245,-31.4669782,
453,node153774263,11.0,b,152.922836,-31.4687401,
454,cubicle45950,11.0,b,152.915665,-31.4682904,
455,node67194656,11.0,b,152.9048,-31.464137,
456,node84338536,11.0,b,152.919017,-31.4706598,
457,cn-busbar355174-t2,11.0,b,152.909613,-31.466457,
458,cn-simulated103968671_324538-t1,11.0,b,152.91839,-31.4680659,
459,cn-busbar251726-t1,11.0,b,152.896035,-31.4674921,
460,cn-geo_schematic_cable233372-t1,11.0,b,152.895603,-31.462179,
461,cn-geo_schematic_cable23106-t2,11.0,b,152.922366,-31.4684306,
462,cn-cable3338866-t2,11.0,b,152.912308,-31.4660772,
463,cubicle49429,11.0,b,152.920775,-31.4703899,
464,node124410738,11.0,b,152.89747,-31.4654241,
465,node83235361,11.0,b,152.896033,-31.4674957,
466,cubicle35711,11.0,b,152.920849,-31.4688676,
467,cn-cable3338328-t2,11.0,b,152.922947,-31.4696819,
468,cn-cable3338869-t2,11.0,b,152.912516,-31.4660866,
469,cn-cable3338956-t2,11.0,b,152.91581,-31.4660247,
470,cn-simulated70366883_652558-t2,11.0,b,152.915957,-31.4676811,
471,node84142413,11.0,b,152.89365,-31.4661039,
472,cubicle48208,11.0,b,152.913302,-31.4664218,
473,cn-cable3339038-t2,11.0,b,152.915641,-31.4677264,
474,cn-geo_schematic_cable380326-t2,11.0,b,152.895608,-31.4649101,
475,cn-cable3338143-t2,11.0,b,152.915778,-31.4682505,
476,cubicle45373,11.0,b,152.906427,-31.4657047,
477,node67193296,11.0,b,152.915434,-31.4689143,
