,vm_pu,name,vn_kv,type,x,y,coords
305,0.9514777956930011,node23220058,11.0,b,152.916741,-31.4678253,
306,0.9981406397932274,cn-busbar88081-t1,11.0,b,152.914746,-31.4667871,
307,0.967703825381679,node69876850,11.0,b,152.911388,-31.4681823,
308,0.9672543795334376,cubicle48772,11.0,b,152.904725,-31.4657631,
309,0.9514777513023818,cubicle33460,11.0,b,152.917014,-31.4686761,
310,0.9677038297377152,node65782807,11.0,b,152.911009,-31.4677418,
311,0.954477261316749,cn-cable3336351-t2,11.0,b,152.920603,-31.4705971,
312,0.9514777265164358,cn-cable3338908-t2,11.0,b,152.913442,-31.4664682,
313,0.9544772502532772,node69935634,11.0,b,152.92028,-31.4714702,
314,0.9514777557331902,cn-cable3338145-t2,11.0,b,152.916561,-31.4683882,
315,0.9514777122990802,cubicle45948,11.0,b,152.912435,-31.4664598,
316,0.9672544078514445,cn-cable3338475-t2,11.0,b,152.906044,-31.4656975,
317,0.9984841182058587,node161553407,11.0,b,152.909593,-31.466457,
318,0.9978799591186689,cn-simulated23427399_210792-t1,11.0,b,152.904518,-31.4626351,
319,0.9514777540918321,cubicle41409,11.0,b,152.915314,-31.4686933,
320,0.9819235009141895,cn-cable3338283-t2,11.0,b,152.920538,-31.4684501,
321,0.9514778228434426,cn-cable1115303-t1,11.0,b,152.915975,-31.4676754,
322,0.9514777921964316,node73296175,11.0,b,152.916577,-31.4670516,
323,0.9984841381395979,node161553384,11.0,b,152.909675,-31.4664568,
324,0.967254395989641,node67195527,11.0,b,152.906474,-31.4660412,
325,0.9514777600330451,cubicle39028,11.0,b,152.914279,-31.4664834,
326,0.9514777572157826,node71579187,11.0,b,152.915788,-31.467313,
327,0.999346715249472,node84142412,11.0,b,152.89365,-31.4661027,
328,0.9819235006338165,node23381694,11.0,b,152.919292,-31.4685517,
329,0.9514778007274184,cn-cable1144520-t2,11.0,b,152.914465,-31.4674532,
330,0.9672543749019422,node101117387,11.0,b,152.904732,-31.4644755,
331,0.9514777541402677,cn-cable3338179-t2,11.0,b,152.915568,-31.4687194,
332,0.9677038485439454,cubicle49635,11.0,b,152.912399,-31.4681971,
333,0.9514777883953716,cubicle49329,11.0,b,152.914398,-31.4683934,
334,0.9993467152494387,node23058287,11.0,b,152.89402,-31.466117,
335,0.9995537610126902,cn-cable1188760-t1,11.0,b,152.896792,-31.4645411,
336,0.998794323027989,cn-cable1236610-t1,11.0,b,152.907991,-31.4678585,
337,0.9544772322082803,node69935403,11.0,b,152.92158,-31.4722671,
338,0.9990955938792815,node29539805,11.0,b,152.900356,-31.4664187,
339,0.9514777702402399,cubicle41403,11.0,b,152.916253,-31.4683939,
340,0.9677038667760036,node74598356,11.0,b,152.912439,-31.4675348,
341,0.951477788124072,node67193148,11.0,b,152.914505,-31.4682865,
342,0.9514777598961396,cn-cable3338919-t2,11.0,b,152.914207,-31.4663931,
343,0.9677038362850541,cubicle40584,11.0,b,152.911387,-31.4673594,
344,0.9677038616221606,cubicle46265,11.0,b,152.91264,-31.4675187,
345,0.9819235066473911,cubicle77072,11.0,b,152.922029,-31.4684298,
346,0.951477768212812,cn-cable3338926-t2,11.0,b,152.914881,-31.4657172,
347,0.9983182238116627,cn-busbar84114-t2,11.0,b,152.912399,-31.4676613,
348,0.9677038553769689,cubicle40579,11.0,b,152.913162,-31.4678096,
349,0.9514777439451069,node71578408,11.0,b,152.913806,-31.4663387,
350,0.9544772941322298,cn-cable3336327-t2,11.0,b,152.920772,-31.4711244,
351,0.951477753303403,cn-cable3338180-t2,11.0,b,152.915434,-31.4690208,
352,0.9677038532494006,cn-cable3338216-t2,11.0,b,152.912259,-31.4674116,
353,0.9544772457266534,cn-cable3336708-t2,11.0,b,152.92109,-31.472463,
354,0.9819235095785773,cn-cable3338340-t2,11.0,b,152.921824,-31.4686239,
355,0.9672543916065108,cubicle49109,11.0,b,152.90662,-31.4650241,
356,0.981923500661494,node84625716,11.0,b,152.920872,-31.4687987,
357,0.9672544146977633,cn-geo_schematic_cable14365-t2,11.0,b,152.905999,-31.4653206,
358,0.9514777268343643,cubicle47097,11.0,b,152.913164,-31.466339,
359,0.9544772037769126,cn-cable3336380-t2,11.0,b,152.921944,-31.4705391,
360,0.9514777766613822,node71579091,11.0,b,152.914717,-31.4667235,
361,0.9514777155913149,cubicle44805,11.0,b,152.913114,-31.4661885,
362,0.9885589198251803,cn-geo_schematic_cable36510-t2,11.0,b,152.89377,-31.4624034,
363,0.9514778112726053,node57578109,11.0,b,152.914673,-31.4667639,
364,0.9885589220241161,cubicle43298,11.0,b,152.894283,-31.4628071,
365,0.9677038488049275,cn-cable3338259-t2,11.0,b,152.912826,-31.4681239,
366,0.9544772164090587,cn-cable3336368-t2,11.0,b,152.921449,-31.4696724,
367,0.9514777988610492,cn-cable3338902-t2,11.0,b,152.914273,-31.4671802,
368,0.9514778013462757,cn-cable3339592-t2,11.0,b,152.914352,-31.4675273,
